vocabulary_item_id,question_text,options,answer_index,explanation
232a54cf-0886-49a4-b1f9-9121fd47746e,「験」の意味として最も適切なものはどれですか？,"[""test; verify"",""sell; marketing"",""prize; reward"",""support; backing""]",0,「験」は test; verify を意味し、実験や検証などで使われます。
243c7d96-044a-4691-9ca8-3ddaaf2a705b,「〜をめぐって」を使った適切な文はどれですか？,"[""教育改革をめぐって議論が行われた。"",""教育改革をめぐり議論が行われた。"",""教育改革をめぐる議論が行われた。"",""教育改革をめぐって議論を行われた。""]",0,「〜をめぐって」は concerning; regarding を意味し、議論や争いの対象を表します。
249b32b7-5072-4519-9e2d-e466afe787e6,「際」の読み方はどれですか？,"[""さい"",""きわ"",""とき"",""じ""]",0,「際」は「さい」と読み、occasion; time を意味します。
261d4e88-069b-4017-9121-13bc9b14aec8,「批判」の意味として正しいものはどれですか？,"[""criticism"",""praise"",""support"",""agreement""]",0,「批判」は criticism を意味し、否定的な意見や指摘を表します。
263e7d94-ebfc-4a63-a26e-4374f0bb2d81,「応」の読み方はどれですか？,"[""おう"",""おえ"",""おい"",""おん""]",0,「応」は「おう」と読み、respond; reply を意味します。
26bb24e7-2661-43b3-bea2-125fa9ec5126,「〜を余儀なくされる」の意味として最も適切なものはどれですか？,"[""be forced to ~"",""be allowed to ~"",""be happy to ~"",""be able to ~""]",0,「〜を余儀なくされる」は be forced to ~ を意味し、やむを得ず何かをする状況を表します。
272f2662-ab27-4e02-a7cd-99f3021535d8,「割り当て」を使った適切な文はどれですか？,"[""作業を割り当てる。"",""作業が割り当てる。"",""作業は割り当てる。"",""作業で割り当てる。""]",0,「割り当て」は allocation; assignment を意味し、仕事や役割を分けることです。
27963df1-d2cf-4728-9e7b-26c33d7901ed,「縮小」の意味として正しいものはどれですか？,"[""reduction; shrinkage"",""expansion; enlargement"",""support; backing"",""organization; system""]",0,「縮小」は reduction; shrinkage を意味し、規模や量を小さくすることです。
280cf2bd-1488-432a-a8ed-8ee707b961af,「反映」を使った適切な文はどれですか？,"[""結果に努力が反映された。"",""結果が努力に反映された。"",""結果は努力に反映された。"",""結果で努力が反映された。""]",0,「反映」は reflection; influence を意味し、結果や状況に影響が現れることです。
2869d2d6-13ab-4a69-91a1-af173c4f5dd7,「疑う」の意味として最も適切なものはどれですか？,"[""to doubt; to suspect"",""to believe; to trust"",""to support; to help"",""to forget; to lose""]",0,「疑う」は to doubt; to suspect を意味し、信じない気持ちを表します。
2873f8a1-8441-43b1-bd69-39bbb285a6d1,「状」の読み方はどれですか？,"[""じょう"",""じゅう"",""しょう"",""じょ""]",0,「状」は「じょう」と読み、condition; situation を意味します。
28e466b8-551f-4348-97a5-89530356b166,「厳密」を使った適切な文はどれですか？,"[""厳密に言えば違う。"",""厳密を言えば違う。"",""厳密は言えば違う。"",""厳密で言えば違う。""]",0,「厳密」は strict; precise を意味し、細かく正確なことを表します。
2901e7cd-2de6-4f66-8eee-52022b6b4bdf,「職」の意味として正しいものはどれですか？,"[""job; employment"",""school; education"",""family; home"",""friend; companion""]",0,「職」は job; employment を意味し、職業や仕事を表します。
29a10853-0422-421d-879a-724c91a3f196,「煽てる」の意味として最も適切なものはどれですか？,"[""to flatter; to sweet-talk"",""to criticize; to blame"",""to ignore; to neglect"",""to teach; to instruct""]",0,「煽てる」は to flatter; to sweet-talk を意味し、相手を持ち上げることです。
2a4c667d-4086-4e70-8305-f91674f13b16,「易」の読み方はどれですか？,"[""やさ"",""い"",""えき"",""やす""]",0,「易」は「やさ」と読み、easy; simple を意味します。
2a95cf59-2a4a-422d-ba1b-f0bcca8e8b55,「〜てからでないと」の意味として正しいものはどれですか？,"[""unless ~ is done first"",""even if ~ is done"",""after ~ is done"",""while ~ is being done""]",0,「〜てからでないと」は unless ~ is done first を意味し、順序や条件を表します。
2af57714-64c3-45fb-a6a8-e9cf8dbc542d,「間」を使った適切な文はどれですか？,"[""授業の間に休憩する。"",""授業が間に休憩する。"",""授業は間に休憩する。"",""授業で間に休憩する。""]",0,「間」は interval; between を意味し、時間や空間の間隔を表します。
2b73544f-d7e7-4c17-8022-1b681b9f36c5,「〜かのように」を使った適切な文はどれですか？,"[""彼は何も知らないかのようにふるまった。"",""彼は何も知らないようにかのふるまった。"",""彼は何も知らないかのようふるまった。"",""彼は何も知らないようにふるまった。""]",0,「〜かのように」は as if ~ を意味し、比喩的な表現に使われます。
2cec519f-c3c1-4a4e-8e40-0077fefbf0f2,「店」の意味として最も適切なものはどれですか？,"[""shop; store"",""house; home"",""school; class"",""office; company""]",0,「店」は shop; store を意味し、商品を売る場所を表します。
2cf2dc65-9b98-45f7-8660-0f44ed3a7404,「聞」の読み方はどれですか？,"[""き"",""もん"",""ぶん"",""こう""]",0,「聞」は「き」と読み、to hear を意味します。
