term,reading,meaning_en,meaning_vi,example_jp,section
〜にあって,〜にあって,in the situation of; under,trong hoàn cảnh; trong tình huống,困難（こんなん）な状況（じょうきょう）にあっても諦（あきら）めなかった。,grammar
〜に至るまで,〜にいたるまで,up to; until,cho đến khi; tới mức,髪型（かみがた）に至（いた）るまで彼女の真似（まね）をしている。,grammar
〜を皮切りに,〜をかわきりに,starting with; beginning with,bắt đầu từ,東京（とうきょう）を皮切（かわき）りに全国（ぜんこく）で公演（こうえん）を行（おこな）う。,grammar
〜にして,〜にして,only when; even though,chỉ khi; ngay cả,これはプロにしても難（むずか）しい問題（もんだい）だ。,grammar
〜あっての,〜あっての,because of; thanks to,nhờ có; vì có,皆（みな）さんあっての成功（せいこう）です。,grammar
〜ではあるまいし,〜ではあるまいし,it’s not like; it’s not as if,đâu phải là; chẳng phải là,子供（こども）ではあるまいし、泣（な）くのはやめなさい。,grammar
〜ともなると,〜ともなると,when it comes to; once you are,khi đã là; đến mức,社会人（しゃかいじん）ともなると、責任（せきにん）が重（おも）くなる。,grammar
〜ないまでも,〜ないまでも,even if not; although not to the extent of,dù không đến mức... nhưng,毎日（まいにち）とは言（い）わないまでも、週（しゅう）に一回（いっかい）は運動（うんどう）した方（ほう）がいい。,grammar
〜ながらに,〜ながらに,while; since,trong khi; vừa,生（う）まれながらに才能（さいのう）を持（も）っている。,grammar
〜を限りに,〜をかぎりに,starting from; as of,kể từ; chấm dứt từ,今日（きょう）を限（かぎ）りに酒（さけ）をやめます。,grammar
〜そばから,〜そばから,as soon as; right after,vừa... là,習（なら）ったそばから忘（わす）れてしまう。,grammar
〜かたわら,〜かたわら,while doing...; besides,vừa... vừa; bên cạnh,彼（かれ）は会社員（かいしゃいん）のかたわら小説（しょうせつ）を書（か）いている。,grammar
〜ずにはおかない,〜ずにはおかない,cannot help but; will definitely,chắc chắn sẽ; không thể không,この映画（えいが）は感動（かんどう）せずにはおかない。,grammar
〜を禁じ得ない,〜をきんじえない,cannot help but (feel),không thể kìm được,彼（かれ）の話（はなし）を聞（き）いて涙（なみだ）を禁（きん）じ得（え）なかった。,grammar
〜にたえる,〜にたえる,worth doing; can bear,đáng để; có thể chịu được,彼（かれ）の作品（さくひん）は賞賛（しょうさん）にたえる。,grammar
〜をもって,〜をもって,with; by means of,bằng; với,本日（ほんじつ）をもって退職（たいしょく）します。,grammar
〜べく,〜べく,in order to,để mà,成功（せいこう）すべく努力（どりょく）する。,grammar
〜ばこそ,〜ばこそ,precisely because,chính vì,愛（あい）していればこそ別（わか）れるのです。,grammar
〜とあって,〜とあって,because; due to,bởi vì; do,人気（にんき）作家（さっか）とあって、会場（かいじょう）は満員（まんいん）だ。,grammar
〜ではすまない,〜ではすまない,cannot be settled by...,không chỉ... là xong,謝（あやま）るだけではすまない。,grammar
〜たりとも,〜たりとも,not even (one...),dù chỉ (một...) cũng không,一秒（いちびょう）たりとも無駄（むだ）にできない。,grammar
〜までもない,〜までもない,no need to; needless to,không đến mức phải,言（い）うまでもないが、試験（しけん）は重要（じゅうよう）だ。,grammar
〜にもほどがある,〜にもほどがある,too much; excessive,quá mức; không thể chấp nhận,冗談（じょうだん）にもほどがある！,grammar
〜に足る,〜にたる,worth; sufficient to,đáng để; xứng đáng để,信頼（しんらい）に足（た）る人物（じんぶつ）だ。,grammar
〜に堪えない,〜にたえない,cannot bear; extremely (emotion),không chịu nổi; vô cùng,感謝（かんしゃ）に堪（た）えません。,grammar
〜か否か,〜かいなか,whether or not,hay không,行（い）くか否（いな）か決（き）めていない。,grammar
〜をよそに,〜をよそに,ignoring; in defiance of,mặc kệ; bất chấp,周囲（しゅうい）をよそに彼（かれ）は笑（わら）っていた。,grammar
〜を余儀なくされる,〜をよぎなくされる,be forced to,bị buộc phải,辞職（じしょく）を余儀（よぎ）なくされた。,grammar
〜にかかわる,〜にかかわる,related to; concerning,liên quan đến,命（いのち）にかかわる問題（もんだい）だ。,grammar
〜にもまして,〜にもまして,even more than; above all,hơn cả; trên hết là,去年（きょねん）にもまして暑（あつ）い。,grammar
〜といえども,〜といえども,even though; even if,dù là; cho dù,子供（こども）といえども礼儀（れいぎ）は必要（ひつよう）だ。,grammar
〜たところで,〜たところで,even if; no matter how much,dù có... thì cũng không,今（いま）から走（はし）ったところで間（ま）に合（あ）わない。,grammar
〜べくもない,〜べくもない,cannot possibly,không thể nào mà,勝利（しょうり）を望（のぞ）むべくもない。,grammar
〜とあっては,〜とあっては,if it is the case,nếu đúng là; nếu như,命（いのち）に関（かん）わることとあっては仕方（しかた）がない。,grammar
〜をもじさない,〜をもじさない,not hesitate to,không ngần ngại,彼（かれ）は犠牲（ぎせい）をも辞（じ）さない。,grammar
〜ところを,〜ところを,although; even though,trong lúc; mặc dù,お忙（いそが）しいところをすみません。,grammar
〜んがために,〜んがために,in order to (formal),để mà (trang trọng),成功（せいこう）せんがために全力（ぜんりょく）を尽（つ）くす。,grammar
〜を限りに,〜をかぎりに,starting from; as of,từ... trở đi,今日（きょう）を限（かぎ）りにタバコをやめる。,grammar
〜ものともせず,〜ものともせず,despite; in defiance of,mặc cho; bất chấp,困難（こんなん）をものともせず前進（ぜんしん）した。,grammar
〜まじき,〜まじき,unacceptable for; unbecoming,không thể chấp nhận được với tư cách là,教師（きょうし）にあるまじき行為（こうい）だ。,grammar
