term,reading,meaning_en,meaning_vi,example_jp,section
曖昧,あいまい,vague; ambiguous,mơ hồ; không rõ ràng,彼の返事は曖昧だった。,word
相応しい,ふさわしい,appropriate; suitable,phù hợp; xứng đáng,彼はリーダーに相応しい人物だ。,word
煽てる,おだてる,to flatter; to sweet-talk,nịnh hót; tâng bốc,子供を煽てて勉強させる。,word
圧倒,あっとう,overwhelm; overpower,áp đảo,観客はその演技に圧倒された。,word
逸れる,それる,to stray; to deviate,lệch hướng; chệch,話が本題から逸れた。,word
意図,いと,intention; aim,ý định; mục đích,その発言の意図が分からない。,word
一概に,いちがいに,categorically; universally,một cách chung chung,一概にそうとは言えない。,word
違和感,いわかん,sense of discomfort,cảm giác không ổn,この文章には違和感がある。,word
意義,いぎ,meaning; significance,ý nghĩa,この活動には大きな意義がある。,word
異なる,ことなる,to differ; to vary,khác nhau,彼の考えは私と異なる。,word
維持,いじ,maintenance; preservation,duy trì,体型を維持するのは難しい。,word
印象,いんしょう,impression,ấn tượng,良い印象を与えたい。,word
依存,いぞん,dependence; reliance,phụ thuộc,スマホに依存している若者が多い。,word
促す,うながす,to urge; to prompt,thúc đẩy; nhắc nhở,彼に行動を促した。,word
裏付ける,うらづける,to support; to back up,chứng minh; xác thực,証拠で主張を裏付ける。,word
疑う,うたがう,to doubt; to suspect,nghi ngờ,彼の話を疑っている。,word
映る,うつる,to be reflected,phản chiếu; hiện lên,鏡に顔が映る。,word
受け入れる,うけいれる,to accept; to receive,chấp nhận; tiếp nhận,結果を受け入れる。,word
疑問,ぎもん,doubt; question,nghi vấn,疑問に思う。,word
円滑,えんかつ,smooth; harmonious,thuận lợi; suôn sẻ,会議が円滑に進んだ。,word
延ばす,のばす,to postpone; to extend,trì hoãn; kéo dài,締切を延ばす。,word
応じる,おうじる,to respond; comply,ứng theo; đáp ứng,要求に応じる。,word
恩恵,おんけい,benefit; blessing,ân huệ; lợi ích,自然の恩恵を受ける。,word
概念,がいねん,concept; idea,khái niệm,自由の概念を説明する。,word
快適,かいてき,comfortable; pleasant,thoải mái; dễ chịu,快適な空間で働く。,word
介入,かいにゅう,intervention; interference,can thiệp,政府が問題に介入した。,word
回避,かいひ,avoidance; evasion,tránh né,責任を回避する。,word
確保,かくほ,securing; ensuring,đảm bảo,安全を確保する。,word
過剰,かじょう,excessive,quá mức,過剰なストレスは体に悪い。,word
過密,かみつ,overcrowded,quá tải; đông đúc,都市の過密化が進んでいる。,word
我慢,がまん,patience; endurance,chịu đựng; nhẫn nhịn,痛みを我慢する。,word
幹部,かんぶ,executive; management,cán bộ; lãnh đạo,幹部会議が開かれる。,word
規模,きぼ,scale; scope,quy mô,大規模なイベント。,word
拠点,きょてん,base; location,cơ sở; địa điểm chính,海外に拠点を持つ。,word
供給,きょうきゅう,supply; provision,cung cấp,水の供給が止まった。,word
業績,ぎょうせき,performance; achievement,thành tích; kết quả kinh doanh,会社の業績が良い。,word
強調,きょうちょう,emphasis; stress,nhấn mạnh,重要性を強調する。,word
均衡,きんこう,balance; equilibrium,cân bằng,均衡の取れた食事。,word
組織,そしき,organization; system,tổ chức,組織を改編する。,word
傾向,けいこう,trend; tendency,khuynh hướng,若者にこの傾向がある。,word
携帯,けいたい,mobile; portable,di động; cầm tay,携帯電話を持っている。,word
見解,けんかい,opinion; view,quan điểm,専門家の見解を聞く。,word
厳密,げんみつ,strict; precise,nghiêm ngặt; chính xác,厳密に言えば違う。,word
見通し,みとおし,outlook; forecast,triển vọng; dự báo,明るい見通しが立つ。,word
構成,こうせい,composition; structure,cấu trúc; tổ chức,文章の構成を考える。,word
貢献,こうけん,contribution,đóng góp,社会に貢献する。,word
考慮,こうりょ,consideration,xem xét,条件を考慮する。,word
合意,ごうい,agreement; consent,đồng thuận; nhất trí,両者が合意に達した。,word
拡大,かくだい,expansion; enlargement,mở rộng,市場を拡大する。,word
行方,ゆくえ,whereabouts; direction,tung tích; hướng đi,行方が分からない。,word
混乱,こんらん,confusion; chaos,hỗn loạn; rối loạn,会場が混乱している。,word
再三,さいさん,repeatedly,nhiều lần,再三注意された。,word
削減,さくげん,reduction; cut,cắt giảm,予算を削減する。,word
妥当,だとう,reasonable; appropriate,hợp lý,妥当な判断だ。,word
支持,しじ,support; backing,ủng hộ; hỗ trợ,彼を支持する。,word
主体,しゅたい,main agent; core,chủ thể; trung tâm,学生主体のイベント。,word
縮小,しゅくしょう,reduction; shrinkage,thu nhỏ,規模を縮小する。,word
進出,しんしゅつ,expansion into; advance,mở rộng; tiến vào,海外市場に進出する。,word
請求,せいきゅう,claim; billing,yêu cầu thanh toán,料金を請求する。,word
成立,せいりつ,establishment; formation,thành lập; thiết lập,契約が成立した。,word
接触,せっしょく,contact; touch,tiếp xúc,感染者と接触した。,word
宣伝,せんでん,advertisement; publicity,tuyên truyền; quảng cáo,新商品を宣伝する。,word
措置,そち,measure; step,biện pháp,適切な措置を取る。,word
対応,たいおう,response; handling,đối ứng; xử lý,緊急事態に対応する。,word
対象,たいしょう,target; subject,đối tượng,調査の対象は学生だ。,word
蓄積,ちくせき,accumulation,tích lũy,疲労が蓄積する。,word
調整,ちょうせい,adjustment,điều chỉnh,スケジュールを調整する。,word
通達,つうたつ,notification; notice,thông báo,会社から通達があった。,word
提案,ていあん,proposal; suggestion,đề xuất,改善案を提案する。,word
展開,てんかい,development; unfolding,triển khai; phát triển,事業を展開する。,word
撤回,てっかい,retraction; withdrawal,rút lại; thu hồi,発言を撤回する。,word
特定,とくてい,specific; particular,cụ thể; đặc thù,特定の条件を満たす。,word
独自,どくじ,original; unique,riêng; độc đáo,独自の技術を持つ。,word
認識,にんしき,recognition; awareness,nhận thức,状況を正しく認識する。,word
反映,はんえい,reflection; influence,phản ánh,結果に努力が反映された。,word
反発,はんぱつ,resistance; backlash,phản kháng,新制度に反発する声が上がる。,word
否定,ひてい,denial; negation,phủ định,その事実を否定できない。,word
批判,ひはん,criticism,phê phán; chỉ trích,政府の対応を批判する。,word
頻繁,ひんぱん,frequent,thường xuyên,最近地震が頻繁に起きている。,word
描写,びょうしゃ,description; depiction,miêu tả,感情の描写が巧みだ。,word
復旧,ふっきゅう,restoration; recovery,phục hồi,道路が復旧された。,word
普及,ふきゅう,spread; popularization,phổ cập,スマートフォンが普及している。,word
分析,ぶんせき,analysis,phân tích,データを分析する。,word
方針,ほうしん,policy; direction,phương châm; chính sách,会社の方針を決める。,word
補足,ほそく,supplement; addition,bổ sung,説明を補足する。,word
模索,もさく,search; exploration,tìm kiếm; mò mẫm,解決策を模索する。,word
目安,めやす,standard; guideline,tiêu chuẩn; ước chừng,時間の目安は1時間です。,word
余裕,よゆう,margin; room; time,dư dả; thoải mái,時間に余裕がある。,word
略す,りゃくす,abbreviate; omit,viết tắt; lược bỏ,名前を略して呼ぶ。,word
要旨,ようし,summary; gist,tóm tắt; cốt lõi,報告の要旨を述べる。,word
了承,りょうしょう,acknowledgment; consent,chấp thuận,了承を得る。,word
臨時,りんじ,temporary; special,tạm thời; bất thường,臨時の対応が必要だ。,word
割り当て,わりあて,allocation; assignment,phân bổ,作業を割り当てる。,word
枠組み,わくぐみ,framework,khuôn khổ; cơ cấu,新しい枠組みを作る。,word
扱う,あつかう,handle; treat,xử lý; đối xử,彼を特別に扱う。,word
依頼,いらい,request; commission,yêu cầu; nhờ vả,仕事を依頼する。,word
維持,いじ,maintain; sustain,duy trì,健康を維持する。,word
圧力,あつりょく,pressure; stress,áp lực,社会からの圧力がある。,word
読,よ,to read,đọc,本を読む。,kanji
書,か,to write,viết,手紙を書く。,kanji
立,た,to stand,đứng,立ってください。,kanji
歩,ある,to walk,đi bộ,道を歩く。,kanji
走,はし,to run,chạy,公園で走る。,kanji
車,くるま,car,xe,車を運転する。,kanji
電,でん,electric,điện,電気をつける。,kanji
話,はなし,story; talk,câu chuyện; nói chuyện,楽しい話を聞いた。,kanji
聞,き,to hear,nghe,音楽を聞く。,kanji
買,か,to buy,mua,本を買う。,kanji
売,う,to sell,bán,商品を売る。,kanji
店,みせ,shop; store,cửa hàng,店に行く。,kanji
食,た,to eat,ăn,ご飯を食べる。,kanji
飲,の,to drink,uống,水を飲む。,kanji
会,あ,to meet,gặp,友達に会う。,kanji
住,す,to live,sống,東京に住んでいる。,kanji
行,い,to go,đi,学校へ行く。,kanji
来,く,to come,đến,明日来ます。,kanji
帰,かえ,to return,trở về,家に帰る。,kanji
年,とし,year,năm,今年は忙しい。,kanji
時,とき,time,thời gian,いい時を過ごした。,kanji
間,あいだ,interval; between,khoảng cách; giữa,授業の間に休憩する。,kanji
名,な,name,tên,名前を書く。,kanji
感,かん,feeling; emotion,cảm giác; cảm xúc,感謝の気持ちを伝える。,kanji
覚,おぼ,to remember,ghi nhớ,単語を覚える。,kanji
想,そう,thought; idea,ý tưởng; suy nghĩ,彼は想像力が豊かだ。,kanji
情,じょう,emotion; condition,tình cảm; tình hình,彼は感情を表に出さない。,kanji
愛,あい,love,tình yêu,親の愛を感じる。,kanji
恵,めぐ,blessing; grace,ân huệ; ban tặng,自然の恵みを受ける。,kanji
務,つと,duty; work,nhiệm vụ; công việc,責任を務める。,kanji
務,む,task; service,nhiệm vụ; chức vụ,事務作業をする。,kanji
務,む,duty; obligation,nghĩa vụ,義務を果たす。,kanji
職,しょく,job; employment,nghề nghiệp; công việc,職を探している。,kanji
業,ぎょう,work; business,nghiệp vụ; công việc,農業に従事する。,kanji
能,のう,ability; capacity,năng lực,彼は能力が高い。,kanji
達,たつ,accomplish; reach,đạt được,目的を達成する。,kanji
続,つづ,to continue,tiếp tục,仕事を続ける。,kanji
終,お,to end; finish,kết thúc,会議が終わった。,kanji
始,はじ,to begin,bắt đầu,授業が始まった。,kanji
変,へん,strange; change,kỳ lạ; thay đổi,彼はちょっと変だ。,kanji
化,か,transform; change,biến hóa; thay đổi,文化を学ぶ。,kanji
比,くら,to compare,so sánh,値段を比べる。,kanji
最,さい,most; -est,nhất,最も重要なこと。,kanji
無,む,nothing; without,không có,無理をしないでください。,kanji
非,ひ,non-; anti-,"phi, không",非常口を確認する。,kanji
的,てき,-al; -ic (adjective suffix),mang tính,基本的な考え。,kanji
感,かん,feeling; sense,cảm giác,感動した。,kanji
理,り,reason; logic,lý do; logic,理由を説明する。,kanji
論,ろん,argument; theory,lý luận; lý thuyết,論文を書く。,kanji
証,しょう,proof; evidence,bằng chứng,証拠が見つかった。,kanji
認,みと,to recognize; admit,thừa nhận; công nhận,事実を認める。,kanji
提,てい,present; propose,đề xuất,提案を出す。,kanji
