id,term,reading,meaning_en,meaning_vi,example_jp,section,created_at
0041ff4b-dc2e-4c1b-8e42-8b0ff0e5bfb1,価,か,value; worth,giá trị,価値がある。,kanji,2025-07-01 02:33:29.902374+00
00827bab-2af6-484a-935f-ffc98e40cd07,〜に限って,〜にかぎって,especially when ~,đúng lúc ~ thì lại ~,雨（あめ）が降（ふ）る日に限（かぎ）って傘（かさ）を忘（わす）れる。,phrase,2025-07-01 02:33:29.902374+00
00f0fe24-33ed-4405-b355-5173771ed4c3,〜を通じて,〜をつうじて,through; via,thông qua; suốt,仕事（しごと）を通（つう）じて成長（せいちょう）した。,phrase,2025-07-01 02:33:29.902374+00
01ed205d-11c9-4e91-9e6c-a7355cad4e9d,業績,ぎょうせき,performance; achievement,thành tích; kết quả kinh doanh,会社の業績が良い。,word,2025-07-01 02:33:29.902374+00
04626415-955a-45f0-9e2e-20b16e33713d,優秀,ゆうしゅう,excellent; outstanding,xuất sắc; ưu tú,彼女は優秀な学生です。,word,2025-07-01 02:07:53.993451+00
0468e32c-a583-435e-b027-7cbdbabe6920,妥当,だとう,reasonable; appropriate,hợp lý,妥当な判断だ。,word,2025-07-01 02:33:29.902374+00
0491ce17-2dbf-4d33-bd5d-ba054809a72e,〜ことから,〜ことから,because of; due to,bởi vì ~; do ~,火（ひ）が出（で）たことから避難（ひなん）した。,phrase,2025-07-01 02:33:29.902374+00
04db9d79-d3b9-4b7a-b8ac-4cf4a76c4d40,〜ところだった,〜ところだった,almost (happened),suýt nữa thì ~,寝坊（ねぼう）して遅刻（ちこく）するところだった。,phrase,2025-07-01 02:33:29.902374+00
05d1ff50-d88e-4833-9f18-29bd0c8be4be,情,じょう,emotion; condition,tình cảm; tình hình,彼は感情を表に出さない。,kanji,2025-07-01 02:33:29.902374+00
068f92a4-bac8-4d20-86d4-1dc36a8be213,任,にん,duty; appoint,nhiệm vụ; bổ nhiệm,社長に任命された。,kanji,2025-07-01 02:33:29.902374+00
06a1e856-acc9-4f05-937a-605cc3ec0985,供給,きょうきゅう,supply; provision,cung cấp,水の供給が止まった。,word,2025-07-01 02:33:29.902374+00
07d19f78-0bf1-424c-b3c8-dcfb4425979d,維持,いじ,maintenance; preservation,duy trì,体型を維持するのは難しい。,word,2025-07-01 02:33:29.902374+00
08388db8-d58c-4bb8-ade6-913cc4bcc8ec,過剰,かじょう,excessive,quá mức,過剰なストレスは体に悪い。,word,2025-07-01 02:33:29.902374+00
09c32690-eb29-49c5-9b92-81773f705c68,独創,どくそう,originality; creativity,độc đáo; sáng tạo,独創的なアイデアを提案した。,word,2025-07-01 02:07:53.993451+00
0a853275-b4d0-4b16-a2d3-8063279e35b0,立,た,to stand,đứng,立ってください。,kanji,2025-07-01 02:33:29.902374+00
0a89792c-ce22-41d0-97d6-870a3692eb6c,〜たりとも,〜たりとも,not even (a single...),dù chỉ một ~ cũng không,一日（いちにち）たりとも忘（わす）れたことはない。,phrase,2025-07-01 02:33:29.902374+00
0b426cfb-6d86-4ad5-90ff-838cd29dcdc0,値,ね,price; value,giá trị; giá cả,値段が高い。,kanji,2025-07-01 02:33:29.902374+00
0c3614a7-98ce-4835-b132-7565fd5d97b8,夢,ゆめ,dream,giấc mơ,夢がかなう。,kanji,2025-07-01 02:33:29.902374+00
0cbd1933-5efc-45bb-9a5e-1b01acd987f4,〜を契機に,〜をけいきに,as an opportunity to ~,nhân cơ hội ~,結婚（けっこん）を契機（けいき）に転職（てんしょく）した。,phrase,2025-07-01 02:33:29.902374+00
0cd65f34-f4b1-4e3b-a405-8e1436c2f451,械,かい,machine; device,máy móc; thiết bị,精密機械を扱う。,kanji,2025-07-01 02:33:29.902374+00
0d712edc-f220-4bf7-ad12-73b745244bbe,優,ゆう,excellent; gentle,xuất sắc; dịu dàng,彼はとても優しい人だ。,kanji,2025-07-01 02:33:29.902374+00
0dde826a-0a38-4e52-bf1b-1a8ea28175a6,改,あらた,revise; renew,cải cách; đổi mới,制度を改める。,kanji,2025-07-01 02:33:29.902374+00
0e8f7cc4-3084-4f26-8ed5-a0f731e7f61b,複,ふく,multiple; complex,phức; phức tạp,複雑な状況。,kanji,2025-07-01 02:33:29.902374+00
0f020165-9f93-4114-83d0-5975d9414f4d,認,みと,to recognize; admit,thừa nhận; công nhận,事実を認める。,kanji,2025-07-01 02:33:29.902374+00
1001cd4e-08d4-4792-bffa-ceb2e7261bec,規模,きぼ,scale; scope,quy mô,大規模なイベント。,word,2025-07-01 02:33:29.902374+00
1071ab1c-22a3-4e7e-87f9-ac274911b748,強調,きょうちょう,emphasis; stress,nhấn mạnh,重要性を強調する。,word,2025-07-01 02:33:29.902374+00
1178f078-29b4-4ae2-b445-e9a2435e4c44,判,はん,judge; decision,phán đoán,判断が速い。,kanji,2025-07-01 02:33:29.902374+00
126b0e52-84d2-4083-8d37-1a06f15f3376,費,ひ,cost; expense,chi phí,交通費が高い。,kanji,2025-07-01 02:33:29.902374+00
13b586a8-f731-406b-baeb-0ac3a99c81e7,〜ずにはすまない,〜ずにはすまない,must; can't avoid ~,phải ~; không thể không ~,謝（あやま）らずにはすまない状況（じょうきょう）だ。,phrase,2025-07-01 02:33:29.902374+00
1415b47b-79f3-4de7-aab1-691dca16ab20,過密,かみつ,overcrowded,quá tải; đông đúc,都市の過密化が進んでいる。,word,2025-07-01 02:33:29.902374+00
