id,term,reading,meaning_en,meaning_vi,example_jp,section,created_at
0fdf6f1f-faac-4cbd-85c9-8fa6d19108e1,～ずにはすまない,ずにはすまない,Must ~; can’t not ~ (to satisfy social/moral expectations),không thể không,誤ったなら謝らずにはすまない,grammar,2025-07-02 23:35:40.568113+00
2361afcb-36c3-46af-a22e-1df9d55e6a8e,～ざるを得ない,ざるをえない,Cannot avoid doing; have no choice but to,không thể tránh khỏi,この状況では決断せざるを得ない,grammar,2025-07-02 23:35:40.568113+00
48c3db0d-a810-4d42-b4d3-a545411796d5,～を余儀なくされる,をよぎなくされる,To be forced to do ~ (due to circumstances),bị buộc phải,大雨のため試合は中止を余儀なくされた,grammar,2025-07-02 23:35:40.568113+00
61303a33-f48d-465a-89b4-711936660d8d,～てやまない,てやまない,To do ~ incessantly (emotive); can’t stop ~ing (from the heart),không ngừng,皆様の幸せを願ってやみません,grammar,2025-07-02 23:35:40.568113+00
64634a7a-c4db-4b12-914f-59cb8c5fa279,～かたがた,かたがた,While at it; at the same time (for another purpose),đồng thời,上司に報告かたがたご挨拶に伺った,grammar,2025-07-02 23:35:40.568113+00
7a237b9d-2ca0-4573-97bb-427be3513568,～ものの,ものの,but; although,mặc dù,日本に長く住んでいるものの、敬語には慣れない,grammar,2025-07-02 23:35:40.568113+00
895935f0-7a9c-4c2a-85af-b8acedde6168,～とはいえ,とはいえ,Having said that; nevertheless,tuy nhiên,週末とはいえ、仕事しなければならない,grammar,2025-07-02 23:35:40.568113+00
95387234-c3ce-423a-af57-34d7d3bd6a95,～いかんにかかわらず / ～いかんによらず,いかんにかかわらず / いかんによらず,Regardless of ~,bất kể,結果の如何にかかわらず、努力を称賛します,grammar,2025-07-02 23:35:40.568113+00
9ecefa58-8bc6-45ad-92e0-5b02d8933b7f,～を禁じ得ない,をきんじえない,Cannot help but feel ~,không thể kìm được,彼の失礼な発言に怒りを禁じ得ない,grammar,2025-07-02 23:35:40.568113+00
b266c1a6-d411-426c-9721-1d7db190fc98,～をおいて他にない,をおいてほかにない,No ... other than ~; ~ is the only,không ai khác ngoài,彼をおいてリーダーに適任な人はいない,grammar,2025-07-02 23:35:40.568113+00
da35372e-443b-49df-86f5-6968ab16341f,～極まりない,きわまりない,Extremely ~; nothing more ~ than this,vô cùng,失礼極まりない,grammar,2025-07-02 23:35:40.568113+00
e85ad799-8c43-47cb-b719-b6907c4b24af,～かねない,かねない,Might ~; capable of ~ (negative outcome),có thể dẫn đến,このままだと試験に落ちかねない,grammar,2025-07-02 23:35:40.568113+00
e8932680-b0e2-4b0e-b8c7-5903f21672f3,〜にもほどがある,〜にもほどがある,too much; excessive,quá mức; không thể chấp nhận,冗談（じょうだん）にもほどがある！,grammar,2025-07-01 02:46:05.524554+00
eb5a6aa4-ee5b-4ddc-acf1-e7f320b64a3a,〜といったところだ,〜といったところだ,would be about; at best,cùng lắm là; chỉ khoảng,準備（じゅんび）は半分（はんぶん）といったところだ。,grammar,2025-07-01 02:46:05.524554+00
eda97ae6-b660-48c9-be5e-92c622ccc438,〜ながらに,〜ながらに,while; since,trong khi; vừa,生（う）まれながらに才能（さいのう）を持（も）っている。,grammar,2025-07-01 02:46:05.524554+00
efde7e6a-a249-4f89-a0c7-bface1a73900,〜に足る,〜にたる,worth; sufficient to,đáng để; xứng đáng để,信頼（しんらい）に足（た）る人物（じんぶつ）だ。,grammar,2025-07-01 02:46:05.524554+00
f23dfd30-5902-45ca-b2c5-c99952ce04d5,～に越したことはない,にこしたことはない,Nothing is better than ~; ~ is the ideal,không gì tốt hơn,用心するに越したことはない,grammar,2025-07-02 23:35:40.568113+00
f73c59f1-bcf0-4635-80d0-544c8423b018,〜こととて,〜こととて,because (formal/literary),bởi vì (trang trọng),急（きゅう）なこととて、ご理解（りかい）ください。,grammar,2025-07-01 02:46:05.524554+00
fd8f7e69-091d-44b7-8d8c-5221d2870b75,〜かたわら,〜かたわら,while doing...; besides,vừa... vừa; bên cạnh,彼（かれ）は会社員（かいしゃいん）のかたわら小説（しょうせつ）を書（か）いている。,grammar,2025-07-01 02:46:05.524554+00
