vocabulary_item_id,question_text,options,answer_index,explanation
0041ff4b-dc2e-4c1b-8e42-8b0ff0e5bfb1,「価」の意味として最も適切なものはどれですか？,"[""value; worth"",""time; period"",""place; location"",""color; appearance""]",0,「価」は value; worth を意味します。「価値がある」のように使われます。
00827bab-2af6-484a-935f-ffc98e40cd07,「〜に限って」を使った適切な文はどれですか？,"[""雨が降る日に限って傘を忘れる。"",""雨が降る日について傘を忘れる。"",""雨が降る日から傘を忘れる。"",""雨が降る日まで傘を忘れる。""]",0,「〜に限って」は「特にその時に」という意味で、皮肉や不運な状況でよく使われます。
00f0fe24-33ed-4405-b355-5173771ed4c3,「〜を通じて」の意味として正しいものはどれですか？,"[""through; via"",""before; prior to"",""after; following"",""instead of""]",0,「〜を通じて」は through; via を意味し、手段や媒介を表します。
01ed205d-11c9-4e91-9e6c-a7355cad4e9d,「業績」の読み方はどれですか？,"[""ぎょうせき"",""ぎょうしき"",""きょうせき"",""ごうせき""]",0,「業績」は「ぎょうせき」と読み、performance; achievement を意味します。
04626415-955a-45f0-9e2e-20b16e33713d,「優秀」を使った適切な例文はどれですか？,"[""彼女は優秀な学生です。"",""彼女は優秀な病気です。"",""彼女は優秀な天気です。"",""彼女は優秀な机です。""]",0,「優秀」はexcellent; outstandingを意味し、人の能力や成績について使われます。
0468e32c-a583-435e-b027-7cbdbabe6920,「妥当」の意味として最も適切なものはどれですか？,"[""reasonable; appropriate"",""impossible; difficult"",""expensive; costly"",""dangerous; risky""]",0,「妥当」は reasonable; appropriate を意味し、適切で合理的であることを表します。
0491ce17-2dbf-4d33-bd5d-ba054809a72e,「〜ことから」を使った適切な文はどれですか？,"[""火が出たことから避難した。"",""火が出たことで避難した。"",""火が出たことを避難した。"",""火が出たことに避難した。""]",0,「〜ことから」は「〜が原因で」という意味で、原因や理由を表します。
04db9d79-d3b9-4b7a-b8ac-4cf4a76c4d40,「〜ところだった」の意味として正しいものはどれですか？,"[""almost (happened)"",""definitely happened"",""never happened"",""will happen soon""]",0,「〜ところだった」は almost (happened) を意味し、危うく起こりそうだった状況を表します。
05d1ff50-d88e-4833-9f18-29bd0c8be4be,「情」の読み方はどれですか？,"[""じょう"",""じょ"",""せい"",""てい""]",0,「情」は「じょう」と読み、emotion; condition を意味します。
068f92a4-bac8-4d20-86d4-1dc36a8be213,「任」を使った適切な文はどれですか？,"[""社長に任命された。"",""社長を任命された。"",""社長が任命された。"",""社長の任命された。""]",0,「任」は duty; appoint を意味し、「任命される」のように使われます。
06a1e856-acc9-4f05-937a-605cc3ec0985,「供給」の意味として最も適切なものはどれですか？,"[""supply; provision"",""demand; request"",""consumption; use"",""storage; keeping""]",0,「供給」は supply; provision を意味し、必要なものを提供することです。
07d19f78-0bf1-424c-b3c8-dcfb4425979d,「維持」の読み方はどれですか？,"[""いじ"",""いち"",""ゆいじ"",""びじ""]",0,「維持」は「いじ」と読み、maintenance; preservation を意味します。
08388db8-d58c-4bb8-ade6-913cc4bcc8ec,「過剰」を使った適切な例文はどれですか？,"[""過剰なストレスは体に悪い。"",""過剰なストレスは体に良い。"",""過剰なストレスは体に美味しい。"",""過剰なストレスは体に面白い。""]",0,「過剰」は excessive を意味し、度を超えていることを表します。
09c32690-eb29-49c5-9b92-81773f705c68,「独創」の意味として正しいものはどれですか？,"[""originality; creativity"",""imitation; copying"",""tradition; convention"",""destruction; demolition""]",0,「独創」は originality; creativity を意味し、新しいアイデアや発想を表します。
0a853275-b4d0-4b16-a2d3-8063279e35b0,「立」の読み方はどれですか？,"[""た"",""り"",""りつ"",""だ""]",0,「立」は「た」と読み、to stand を意味します。「立つ」として使われます。
0a89792c-ce22-41d0-97d6-870a3692eb6c,「〜たりとも」の意味として最も適切なものはどれですか？,"[""not even (a single...)"",""at least one"",""more than one"",""exactly one""]",0,「〜たりとも」は not even (a single...) を意味し、強い否定を表します。
0b426cfb-6d86-4ad5-90ff-838cd29dcdc0,「値」を使った適切な文はどれですか？,"[""値段が高い。"",""値段を高い。"",""値段は高い。"",""値段な高い。""]",0,「値」は price; value を意味し、「値段」として使われます。
0c3614a7-98ce-4835-b132-7565fd5d97b8,「夢」の読み方はどれですか？,"[""ゆめ"",""ゆま"",""むゆ"",""ぼう""]",0,「夢」は「ゆめ」と読み、dream を意味します。
0cbd1933-5efc-45bb-9a5e-1b01acd987f4,「〜を契機に」を使った適切な文はどれですか？,"[""結婚を契機に転職した。"",""結婚が契機に転職した。"",""結婚は契機に転職した。"",""結婚で契機に転職した。""]",0,「〜を契機に」は as an opportunity to を意味し、きっかけや機会を表します。
0cd65f34-f4b1-4e3b-a405-8e1436c2f451,「械」の意味として正しいものはどれですか？,"[""machine; device"",""animal; creature"",""plant; vegetation"",""mineral; stone""]",0,「械」は machine; device を意味し、機械や器具を表します。
0d712edc-f220-4bf7-ad12-73b745244bbe,「優」を使った適切な例文はどれですか？,"[""彼はとても優しい人だ。"",""彼はとても優しい物だ。"",""彼はとても優しい事だ。"",""彼はとても優しい時だ。""]",0,「優」は excellent; gentle を意味し、優しさや優秀さを表します。
0dde826a-0a38-4e52-bf1b-1a8ea28175a6,「改」の読み方はどれですか？,"[""あらた"",""かい"",""がい"",""あらわ""]",0,「改」は「あらた」と読み、revise; renew を意味します。「改める」として使われます。
0e8f7cc4-3084-4f26-8ed5-a0f731e7f61b,「複」を使った適切な文はどれですか？,"[""複雑な状況。"",""複雑を状況。"",""複雑は状況。"",""複雑で状況。""]",0,「複」は multiple; complex を意味し、「複雑」として使われます。
0f020165-9f93-4114-83d0-5975d9414f4d,「認」の意味として最も適切なものはどれですか？,"[""to recognize; admit"",""to deny; refuse"",""to ignore; overlook"",""to forget; lose""]",0,「認」は to recognize; admit を意味し、認めることを表します。
1001cd4e-08d4-4792-bffa-ceb2e7261bec,「規模」の読み方はどれですか？,"[""きぼ"",""きも"",""ぎぼ"",""ぎも""]",0,「規模」は「きぼ」と読み、scale; scope を意味します。
1071ab1c-22a3-4e7e-87f9-ac274911b748,「強調」を使った適切な例文はどれですか？,"[""重要性を強調する。"",""重要性が強調する。"",""重要性は強調する。"",""重要性で強調する。""]",0,「強調」は emphasis; stress を意味し、重要なポイントを強く示すことです。
1178f078-29b4-4ae2-b445-e9a2435e4c44,「判」の意味として正しいものはどれですか？,"[""judge; decision"",""question; inquiry"",""answer; response"",""problem; issue""]",0,「判」は judge; decision を意味し、判断や決定を表します。
126b0e52-84d2-4083-8d37-1a06f15f3376,「費」の読み方はどれですか？,"[""ひ"",""ふぇ"",""び"",""ぴ""]",0,「費」は「ひ」と読み、cost; expense を意味します。
13b586a8-f731-406b-baeb-0ac3a99c81e7,「〜ずにはすまない」の意味として最も適切なものはどれですか？,"[""must; can't avoid ~"",""don't need to ~"",""want to ~"",""might ~""]",0,「〜ずにはすまない」は must; can't avoid を意味し、避けられない義務を表します。
1415b47b-79f3-4de7-aab1-691dca16ab20,「過密」を使った適切な文はどれですか？,"[""都市の過密化が進んでいる。"",""都市の過密化を進んでいる。"",""都市の過密化は進んでいる。"",""都市の過密化に進んでいる。""]",0,「過密」は overcrowded を意味し、人口や物が密集しすぎることを表します。
14bca22a-9b30-4aae-8338-650e5d91db8a,「確」の読み方はどれですか？,"[""たし"",""かく"",""がく"",""たち""]",0,「確」は「たし」と読み、certain; confirm を意味します。「確かめる」として使われます。
14f8a5dc-7941-47f9-adb7-8d6576dd9557,「〜というものだ」を使った適切な文はどれですか？,"[""それはずるいというものだ。"",""それをずるいというものだ。"",""それがずるいというものだ。"",""それでずるいというものだ。""]",0,「〜というものだ」は is truly; should be called を意味し、強い判断や評価を表します。
15254fb3-5df8-4c78-a43c-a929c4e7f94f,「〜ことにしている」の意味として正しいものはどれですか？,"[""make it a rule to ~"",""happened to ~"",""forgot to ~"",""failed to ~""]",0,「〜ことにしている」は make it a rule to を意味し、習慣的に行うことを表します。
18506c41-fb99-4de5-8f6c-f5647de370c1,「働」の読み方はどれですか？,"[""はたら"",""どう"",""ろう"",""たら""]",0,「働」は「はたら」と読み、to work を意味します。「働く」として使われます。
1880e8a2-dbb1-4147-a6dc-2fdc47184079,「請求」を使った適切な例文はどれですか？,"[""料金を請求する。"",""料金が請求する。"",""料金は請求する。"",""料金で請求する。""]",0,「請求」は claim; billing を意味し、支払いを求めることを表します。
18acea76-e200-481e-b0f8-c57807319ab1,「〜ことになっている」の意味として最も適切なものはどれですか？,"[""be supposed to ~; it is decided that ~"",""want to ~"",""try to ~"",""refuse to ~""]",0,「〜ことになっている」は be supposed to; it is decided that を意味し、予定や規則を表します。
1914884c-2760-4370-a24d-43295eac84b2,「〜といったらない」を使った適切な文はどれですか？,"[""彼の無礼さといったらない。"",""彼の無礼さがといったらない。"",""彼の無礼さはといったらない。"",""彼の無礼さでといったらない。""]",0,「〜といったらない」は extremely を意味し、程度の激しさを強調します。
19a84f67-fbbf-4b71-b983-5ba4926be3c8,「見通し」の読み方はどれですか？,"[""みとおし"",""けんつう"",""みどおし"",""けんとおし""]",0,「見通し」は「みとおし」と読み、outlook; forecast を意味します。
1a7f2879-be8b-474b-9888-8c39f0c7c0b7,「〜を問わず」の意味として正しいものはどれですか？,"[""regardless of"",""because of"",""in spite of"",""according to""]",0,「〜を問わず」は regardless of を意味し、条件や状況に関係なくということを表します。
1bf68a73-3cb0-40d3-9291-b67597c6d58c,「局」を使った適切な文はどれですか？,"[""税務局で手続きする。"",""税務局を手続きする。"",""税務局が手続きする。"",""税務局は手続きする。""]",0,「局」は bureau; department を意味し、政府機関や部署を表します。
1cfc0ec1-6049-4c92-9282-46d9f49a814a,「〜といっても」を使った適切な例文はどれですか？,"[""旅行といっても近場に行くだけです。"",""旅行がといっても近場に行くだけです。"",""旅行はといっても近場に行くだけです。"",""旅行でといっても近場に行くだけです。""]",0,「〜といっても」は even though I say; although を意味し、控えめな表現に使われます。
