section,question_text,options,answer_index,explanation,vocabulary_item_id,grammar_item_id
vocabulary,「幸福」の意味として最も適切なものはどれですか？,"[""happiness; good fortune"", ""sadness; misfortune"", ""anger; rage"", ""confusion; disorder""]",0,「幸福」は happiness; good fortune を意味します。家族との時間など、心の満足を表現する際に使われます。,,
vocabulary,「複雑」を使った適切な文はどれですか？,"[""この問題は非常に複雑だ。"", ""この問題は非常に簡単だ。"", ""この問題は非常に楽しい。"", ""この問題は非常に静かだ。""]",0,「複雑」はcomplexやcomplicatedを意味し、問題や状況が入り組んでいることを表します。,,
vocabulary,「著名」の読み方はどれですか？,"[""ちょめい"", ""ちゃくめい"", ""ちょうめい"", ""ちゃめい""]",0,「著名」は「ちょめい」と読み、famous や well-known を意味します。,,
vocabulary,「曖昧」の意味として正しいものはどれですか？,"[""vague; ambiguous"", ""clear; obvious"", ""fast; quick"", ""heavy; thick""]",0,「曖昧」はvague; ambiguousを意味し、はっきりしない状態を表します。,,
vocabulary,「優秀」を使った適切な例文はどれですか？,"[""彼女は優秀な学生です。"", ""彼女は優秀な病気です。"", ""彼女は優秀な天気です。"", ""彼女は優秀な机です。""]",0,「優秀」はexcellent; outstandingを意味し、人の能力や成績について使われます。,,
grammar,行く（　　）、電話が鳴った。,"[""か行かないかのうちに"", ""ために"", ""ので"", ""けれども""]",0,「か～ないかのうちに」は「～しようかどうか迷っているうちに」という意味で、何かを決断する前に別のことが起こることを表します。,,
grammar,日本（　　）、アジア諸国で人気がある。,"[""をはじめとして"", ""について"", ""によって"", ""に対して""]",0,「をはじめ（として）」は「starting with」の意味で、例を挙げる時に使います。,,
grammar,この件（　　）、詳しく説明します。,"[""に関して"", ""によって"", ""について"", ""に対して""]",0,「に関して」は「regarding」「concerning」の意味で、何かについて述べる時に使います。,,
grammar,天気予報（　　）、明日は雨だそうです。,"[""によると"", ""に関して"", ""をめぐって"", ""に反して""]",0,「によると」は「according to」の意味で、情報源を示す時に使います。,,
grammar,予想（　　）、試験は簡単だった。,"[""に反して"", ""によると"", ""をはじめ"", ""に関して""]",0,「に反して」は「contrary to」の意味で、期待や予想と異なる結果を表現する時に使います。,,
